agent_id,repo_name
T2_FINANCIAL_SPECIALIST_001,dist
T2_FINANCIAL_SPECIALIST_001,fin-001-genixbank-lite
T2_TECHNICAL_WRITER_001,ps-001-business-consulting
T2_TECHNICAL_WRITER_001,ps-002-legal-services
T2_TECHNICAL_WRITER_001,ps-003-accounting-services
T2_TECHNICAL_WRITER_001,ps-004-hr-consulting
T2_TECHNICAL_WRITER_001,ps-005-marketing-agency
T2_TECHNICAL_WRITER_001,ps-006-web-design-agency
T2_TECHNICAL_WRITER_001,ps-007-it-support-services
T2_TECHNICAL_WRITER_001,ps-008-virtual-assistant-service
T2_TECHNICAL_WRITER_001,ps-009-bookkeeping-service
T2_TECHNICAL_WRITER_001,ps-010-tax-preparation-service
T2_TECHNICAL_WRITER_001,ps-011-real-estate-agency
T2_TECHNICAL_WRITER_001,ps-012-insurance-agency
T2_TECHNICAL_WRITER_001,ps-013-financial-planning
T2_TECHNICAL_WRITER_001,ps-014-event-planning
T2_TECHNICAL_WRITER_001,ps-015-interior-design
T2_TECHNICAL_WRITER_001,ps-016-photography-service
T2_TECHNICAL_WRITER_001,ps-017-videography-service
T2_TECHNICAL_WRITER_001,ps-018-translation-services
T2_TECHNICAL_WRITER_001,ps-019-copywriting-service
T2_TECHNICAL_WRITER_001,ps-020-social-media-management
T2_TECHNICAL_WRITER_001,ps-021-seo-agency
T2_TECHNICAL_WRITER_001,ps-022-ppc-management
T2_TECHNICAL_WRITER_001,ps-023-pr-agency
T2_TECHNICAL_WRITER_001,ps-024-recruiting-agency
T2_TECHNICAL_WRITER_001,ps-025-business-brokerage
T3_CONTENT_STRATEGIST_001,edu-001-youth-entrepreneurship-curriculum
T3_SOCIAL_MEDIA_001,mc-001-youtube-channel-network
T4_OPS_COORDINATOR_001,comm-002-brotherhood-coaching-network
T4_OPS_COORDINATOR_001,comm-003-ace-senior-care-connect
T4_OPS_COORDINATOR_001,comm-004-community-outreach-nonprofit
T4_OPS_COORDINATOR_001,comm-005-ace-food-security-ai
T4_OPS_COORDINATOR_001,comm-006-community-technology-access-ai
T4_OPS_COORDINATOR_001,comm-007-youth-leadership-ai
T4_OPS_COORDINATOR_001,comm-008-community-fundraising-ai
T4_OPS_COORDINATOR_001,comm-009-volunteer-hub-ai
T4_OPS_COORDINATOR_001,comm-010-disaster-relief-ai
T4_OPS_COORDINATOR_001,comm-011-indigenous-creator-hub
T4_OPS_COORDINATOR_001,comm-012-black-art-museum-ai
T4_OPS_COORDINATOR_001,comm-013-women-s-empowerment-network
T4_OPS_COORDINATOR_001,comm-014-veterans-support-ai
